公司,父记录,招聘岗位,学历要求,是否笔试,专业要求,备注,工作地点,招聘届次,更新时间,企业类型,公告来源,开始时间,行业类别,截止时间,批次（暑期实习）,父记录 2,公告链接,是否笔试 (1),简历投递链接
招商银行-南宁分行,,银行业务助理类;信息技术助理类,"本科, 硕士, 博士",有笔试,/,选择感兴趣岗位投递简历，一经录用签订实习协议，在线填写简历需真实完整，提供1寸免冠证件照，手机号变更及时更新，应聘渠道以官网为准，招聘不收取费用,南宁 | 柳州,2026 | 2027 | 2028届,2026-01-11,央国企,,,金融业,2026-01-31,寒假实习,,https://www.offerleida.com/detail?id=34727,,https://career.cmbchina.com/home
人保财险北京市分公司,,渠道维护类、业务管理类、农险业务发展类、行业客户类、理赔类、医疗审核类、社保巡调查类软件开发类、TT类、法律合规类、风控服务类、财务类、综合类,,,,,北京,2026届,2026-01-17,央国企,,,金融-保险,2026-04-30,春招专场,,https://mp.weixin.qq.com/s/Zu9tmaCvelvyZYrdmrSVqQ?scene=1&click_id=9,,https://picc.zhiye.com/custom/campus?hideAll=true&ky=&c1=&c2=22&d=&c=
卫龙集团,,销售类；市场品牌类；电商运营类；研发类；生产类；采购类；人力资源类；数字化类；财务类；法务&投资类；审计类,"本科, 硕士, 博士",/,/,/,上海 | 漯河 | 全国多地,2026届,2026-01-15,民企,,,快速消费品,尽快投递,春招专场,,https://www.offerleida.com/detail?id=34971,,https://weilongshipin.zhiye.com/campus/jobs
TP-Link联洲,,校园大使,"本科, 硕士, 博士",/,/,/,全国多地,2026 | 2027 | 2028届,2026-01-15,民企,,,通信/电子/半导体,尽快投递,春招专场,,https://www.offerleida.com/detail?id=34910,,https://v.wjx.cn/vm/wEcNvOM.aspx
涿州电影博物馆,,管培生岗位,"本科, 硕士, 博士",/,/,/,保定,2024 | 2025 | 2026届,2026-01-14,事业单位,,,文化/传媒/广告/体育,2026-01-20,春招专场,,https://www.offerleida.com/detail?id=34960,,https://mp.weixin.qq.com/s/3kPm_3YYjH27KKJ84nOFqw
AAC Technologies,,校园品牌宣传员；校园人才推荐官；校园活动策划者,"本科, 硕士, 博士",/,/,/,全国多地,2026 | 2027 | 2028届,2026-01-14,民企,,,机械/制造业,2026-02-14,秋招补招,,https://www.offerleida.com/detail?id=34928,,https://mp.weixin.qq.com/s/lUI5bp6Z5YNMyxO4iLjUbA
中牧实业股份有限公司,,财务中心（会计、税务）；生物制品事业部（研发、生产、质量、销售）；国际业务发展部（销售）；药物事业部（研发、生产、质量、销售）；北京研究院（研发、生产、质量、销售）,"硕士, 博士",有笔试,/,应聘者需提供简历、身份证、学历学位证书等材料；招聘流程包括报名、资格审查、笔试、面试、体检、签约等环节；薪酬福利按公司规定执行,北京,2026届,2026-01-14,央国企,,,农林牧渔,2026-04-01,春招专场,,https://www.offerleida.com/detail?id=34956,,https://www.iguopin.com/company?id=10685319995229526
中国邮政储蓄银行镇江市分行,,网点大堂引导；对合作商户、特惠商户进行体验评估；各类宣传活动现场信息咨询和资料收集，非机密性文件、单据等资料的收集、汇总、归档；业务系统数据的录入、取数；各类业务电话回访；部门或支行领导交办的其他工作,"本科, 硕士, 博士",/,工学、理学、信息技术、法学、金融、经济、数理统计、财务会计、管理等,应聘者应对申请资料信息的真实性负责。如与事实不符，我行有权取消其应聘资格，解除相关协议约定。招聘期间，我行将通过招聘系统信息提示、手机短信或电子邮件等方式与应聘者联系，请保持通信畅通。我行从未成立或委托成立任何考试中心、命题中心等机构或类似机构，从未编辑或出版过任何面试参考资料，从未向任何机构提供过考试相关的资料和信息。我行有权根据岗位需求变化及报名情况等因素，调整、取消或终止个别岗位的招聘工作，并对本次招聘享有最终解释权。,镇江,2026 | 2027届,2026-01-14,央国企,,,金融业,2026-01-20,寒假实习,,https://www.offerleida.com/detail?id=34938,,投递邮箱： | zJycyhzp@163.com
沙钢集团,,冶金类 材料类 机械类 电气类 智能AI类 能源动力类 矿物化工类 安全环保类 管理类；,"大专, 本科, 硕士, 博士",/,/,/,苏州,2026届,2026-01-13,民企,,,能源/化工/环保,尽快投递,春招专场,,https://www.offerleida.com/detail?id=34883,,https://mp.weixin.qq.com/s/gs4_V6bqCYFSoVdYKBnxbg
广东省学生体育艺术联合会,,实习生,"本科, 硕士, 博士",/,"体育类专业或参加过体育项目比赛者优先,未明确",/,广州,2026 | 2027 | 2028届,2026-01-14,社会组织,,,政府/机构/组织,尽快投递,实习 | 寒假实习,,https://www.offerleida.com/detail?id=34945,,投递邮箱： | 317985950@qq.com
中国西域研究中心,,综合服务岗、科研部研究岗,,,,,北京,2024 | 2025 | 2026届,2026-01-17,央国企,,,金融-保险,2026-01-23,春招专场,,https://mp.weixin.qq.com/s/arTqBeoSS4qIsW3QzBAb2A?scene=1&click_id=11,,https://mp.weixin.qq.com/s/arTqBeoSS4qIsW3QzBAb2A?scene=1&click_id=11
东体,,实习生（全媒体编辑）,"本科, 硕士, 博士",/,/,/,上海,2026 | 2027 | 2028届,2026-01-15,央国企,,,文化/传媒/广告/体育,尽快投递,寒假实习,,https://www.offerleida.com/detail?id=34914,,投递邮箱： | hr@osportsmedia.com
美团-鸭觅,,内容运营实习生;产品运营实习生;用户运营实习生;视频运营实习生,"本科, 硕士, 博士",/,/,/,北京,2026 | 2027 | 2028届,2026-01-15,民企,,,IT/互联网/游戏,尽快投递,实习 | 寒假实习,,https://www.offerleida.com/detail?id=34913,,https://zhaopin.meituan.com/web/campus?hiringType=2_6&keyword
万图云库（天津）信息技术有限公司,,实习生,"本科, 硕士, 博士",/,数字出版、新闻传播、汉语言文学、网络技术等相关专业优先,/,天津,2026 | 2027 | 2028届,2026-01-14,民企,,,IT/互联网/游戏,尽快投递,实习 | 寒假实习,,https://www.offerleida.com/detail?id=34915,,投递邮箱： | hr@wtyk.cn
人民网-经济民生采访部,,记者实习生,"本科, 硕士, 博士",/,新闻等相关专业,简历请附带个人作品，或作品链接地址。简历请发至： | wangshaoshao@people.cn | 。邮件正文请命名为：姓名+职位名+学校名+开始实习日期+每周实习天数+计划实习周期,北京,2026 | 2027 | 2028届,2026-01-14,央国企,,,文化/传媒/广告/体育,尽快投递,实习 | 寒假实习,,https://www.offerleida.com/detail?id=34948,,投递邮箱：  | wangshaoshao@people.cn
安达科技,,"网络工程师,信息化工程师,自动化工程师,研发助理工程师,IE工程师,工艺工程师,机械工程师,品质工程师,生产助理工程师","本科, 硕士, 博士",/,/,/,贵阳,2026届,2026-01-13,民企,,,能源/化工/环保,尽快投递,春招专场,,https://www.offerleida.com/detail?id=34881,,https://mp.weixin.qq.com/s/Y19bcqcoCirExtw7FunH0g
湖北省烟草专卖局（公司）,,本次公开招聘151人，具体招聘岗位、人数和相关要求见湖北省烟草专卖局（公司）2026年岗位招聘计划表（见附件1、附件2）。,"本科, 硕士, 博士",有笔试,/,应聘人员对提交信息和材料真实性负责；招聘不收费不指定辅导；有变动以补充公告为准,仙桃 | 十堰 | 咸宁 | 天门 | 孝感 | 宜昌 | 恩施土家族苗族自治州 | 武汉 | 潜江 | 神农架林区 | 荆州 | 荆门 | 襄阳 | 鄂州 | 随州 | 黄冈 | 黄石,2026届,2026-01-12,央国企,,,快速消费品,2026-01-19,春招专场,,https://www.offerleida.com/detail?id=34875,,https://hbycgkzp2026.zhaopin.com/jobs/index.html
鸿钧微电子,,数字前端设计工程师 数字芯片验证工程师芯片硅后验证工程师 数字中端设计工程师DFT工程师数字后端设计工程师;,,,,,北京上海杭州长沙济南,2026届,2026-01-19,民企,,,电子/半导体,招满为止,春招专场,,https://mp.weixin.qq.com/s/fcB2UjxrbNOlOdHTXhujCA,,https://app.mokahr.com/campus-recruitment/hjmicro/54317?locale=zh-CN&sessionid=#/jobs?zhineng0=96217
中电科思仪,,硬件与电路类、软件与算法类、通信与系统类、光学类、工艺类与机电类、销售与技术支持类、职能类,,,,,青岛、蚌埠、北京、成都,2026届,2026-01-18,央国企,,,电子/半导体,招满为止,春招专场,,https://mp.weixin.qq.com/s/QoK4k9iExL8aPt1lsmVjrw,,https://mp.weixin.qq.com/s/QoK4k9iExL8aPt1lsmVjrw
中志支付清算服务（北京）有限公司,,业务类岗位1人、技术类岗位2人,"本科, 硕士, 博士",有笔试,/,报考人员不得报考录用后即构成回避关系的招聘岗位，应符合中国人民银行亲属回避相关规定。,北京,2026届,2026-01-15,央国企,,,IT/互联网/游戏,2026-02-04,寒假实习 | 春招专场,,https://www.offerleida.com/detail?id=34969,,https://www.cncc.cn/ryzp/zsqyzp/202601/t20260116_3231.html?sessionid=
,,,,,,,,,,,,,,,,,,,
上海跨境电子商务行业协会,,行政助理,"本科, 硕士, 博士",/,/,/,上海,2026 | 2027 | 2028届,2026-01-14,社会组织,,,政府/机构/组织,尽快投递,实习 | 寒假实习,,https://www.offerleida.com/detail?id=34946,,投递邮箱： | 18918653469@163.com
西蒙顾和,,生命科学团队实习生,"本科, 硕士, 博士",/,生物医药、公共卫生、卫生经济、临床、基础医学优先,/,上海,2026 | 2027 | 2028届,2026-01-14,外企,,,咨询,尽快投递,实习 | 寒假实习,,https://www.offerleida.com/detail?id=34942,,投递邮箱： | Shanghai_LS_HR@simon-kucher.com
品诚梅森,,法律实习生,"本科, 硕士, 博士",/,法学,/,上海 | 北京,2026届,2026-01-12,民企,,,财务/审计/税务,尽快投递,寒假实习,,https://www.offerleida.com/detail?id=34872,,https://www.pinsentmasons.com/careers/early-talent/china/internship-programme?sessionid=#1
深信服,,[X-STAR]顶尖人才校招专项：大模型与多模态模型研发（AI算法）、大模型训练与推理性能优化（AI Infra）​​,"本科, 硕士, 博士",/,/,/,上海 | 北京 | 南京 | 合肥 | 天津 | 广州 | 成都 | 杭州 | 武汉 | 深圳 | 西安 | 重庆 | 长沙 | 海外,2026届,2026-01-12,民企,,,IT/互联网/游戏,尽快投递,春招专场,,https://www.offerleida.com/detail?id=34869,,https://app.mokahr.com/campus_apply/sangfor/27944?sessionid=#/job/c8c7d081-ffa3-4d54-98e8-01457b8644e5
电科太极,,规划论证工程师、软件开发工程师(C++、Java、web前端、Android、嵌入式驱动开发、图形图像、网络通信、仿真验证)硬件开发工程师(电路设计、FPGA开发、结构设计)、数据工程师、软件测试工程师、系统集成工程师、网络攻防工程师、网络安全测试工程师,,,,,北京、西安,2026届,2026-01-19,央国企,,,制造-机械/电子,招满为止,春招专场,,https://mp.weixin.qq.com/s/t7OK6FhsqMSFMfhwmXLHwQ?scene=1&click_id=4,,https://cetctj.zhiye.com/campus/jobs
天基空间精密技术南京股份有限公司,,研发实习生(嵌入式硬件、C语言);人事实习生;财务实习生;国际销售实习生;国内销售实习生,"本科, 硕士, 博士",/,/,/,南京 | 无锡,2026 | 2027 | 2028届,2026-01-14,民企,,,通信/电子/半导体,尽快投递,实习 | 寒假实习,,https://www.offerleida.com/detail?id=34931,,https://mp.weixin.qq.com/s/HNerR_Q570WcqBhDLrbYSw
北京绿色金融与可持续发展研究院-CASI,,实习生,"硕士, 博士",/,外语、专业翻译、国际关系等相关专业优先,/,北京,2026 | 2027 | 2028届,2026-01-14,社会组织,,,政府/机构/组织,尽快投递,寒假实习,,https://www.offerleida.com/detail?id=34939,,投递邮箱： | zhangnh@ifs.net.cn
淮安农村商业银行,,大堂经理助理岗,"本科, 硕士, 博士",/,/,本单位根据应聘者提交的信息进行审核，应聘者应对申请资料的真实性、完整性负责。如故意或过失提供虚假、不完整信息或材料，本单位有权取消其实习资格，解除相关协议约定，由此导致的一切后果由应聘者自行负责。招募期间，请保持通讯畅通。本行不提供食宿及交通工具，建议选择居住地就近网点。本单位有权根据实习岗位需求及报名情况等因素，调整、取消或终止相关实习岗位的招募工作，并对本次招募享有最终解释权。,淮安,2026 | 2027 | 2028届,2026-01-14,民企,,,金融业,2026-01-18,寒假实习,,https://www.offerleida.com/detail?id=34944,,https://wxyh.harcb.com/WxServerDev/Areas/UserSurvey/home.html?mpId=harcb&surveyDefId=801
云南红塔银行,,信息科技类 分行管培生,"本科, 硕士, 博士",有笔试,/,招聘期间，在各招聘环节中，本行会及时通过电话、短信等方式通知进入下一环节的应聘者。对未进入下一环节的应聘者，本行不再单独发布通知。,大理白族自治州 | 文山壮族苗族自治州 | 昆明 | 昭通 | 红河哈尼族彝族自治州 | 西双版纳傣族自治州,2026届,2026-01-13,央国企,,,金融业,2026-01-29,春招专场,,https://www.offerleida.com/detail?id=34890,,https://mp.weixin.qq.com/s/ynq6RqPbS4XZQFxso8QmQQ
大地电气,,技术类（高含金量稀缺岗）；营销类（潜力黑马岗）；职能类（硬核支撑岗）；生产运营类（高效履约岗）,"本科, 硕士, 博士",/,机械类、电子类、自动化类、市场营销类、管理类等相关专业优先,/,北京 | 南通 | 徐州,2026届,2026-01-12,民企,,,汽车制造/维修/零配件,尽快投递,春招专场,,https://www.offerleida.com/detail?id=34878,,https://mp.weixin.qq.com/s/pcUf5n_HtU0nMPQv0WBIAQ?scene=1
德国瓦格耐集团（香港）有限公司,,外贸销售工程师；国内销售工程师；机电工程师,"本科, 硕士, 博士",/,国际贸易、商务英语、市场营销、机电一体化、电气自动化等专业优先；市场营销、金融贸易、机电自动化、机电一体化、电气自动化等专业优先；机电自动化、机电一体化、电气自动化、机械设计与制造等相关专业优先,/,佛山 | 郑州 | 驻马店,2026届,2026-01-12,外企,,,能源/化工/环保,尽快投递,春招专场,,https://www.offerleida.com/detail?id=34871,,https://mp.weixin.qq.com/s/ckcytDl8H321RL3LOenyzA
北京市东城区教育委员会-所属事业单位,,招聘岗位详见附件,"硕士, 博士",有笔试,/,应聘人员信息须真实，非京生源需符合要求，按规定时限配合工作,北京,2024 | 2025 | 2026 | 不限届,2026-01-12,事业单位,,,教育/培训/科研,2026-01-20,秋招专场,,https://www.offerleida.com/detail?id=34870,,https://gkzpbm.bjdcjy.cn
西安新东方-返乡专场,,"双语分级阅读教师,启智素养教师,文学素养教师,语文智慧学习机教师,数学智慧学习机教师,英语智慧学习机教师,物理智慧学习机教师,高中班组课教师,高中小组课教师,高中1V1教师",,,,,西安 | 咸阳,2026届,2026-01-18,民企,,,教育,招满为止,秋招补录,,https://mp.weixin.qq.com/s/fCwBDgZcyvZ1e2HahxSjLw,,https://mp.weixin.qq.com/s/fCwBDgZcyvZ1e2HahxSjLw
许昌智能,,研发类、技术类、营销类,,,,,郑州、武汉、许昌、北京,2026届,2026-01-17,民企,,,互联网-软件技术,招满为止,秋招补录,,https://mp.weixin.qq.com/s/IPmaeWoEWQMa7vxDLFcecw?scene=1&click_id=6,,https://mp.weixin.qq.com/s/IPmaeWoEWQMa7vxDLFcecw?scene=1&click_id=6
HRnetGroup,,医疗大健康全职猎头顾问和应届管培生,"本科, 硕士, 博士",/,医学、药学、生物医学、公共卫生等相关专业,/,上海,2026届,2026-01-16,外企,,,财务/审计/税务,尽快投递,春招专场,,https://www.offerleida.com/detail?id=34979,,https://hrnetgroup.mikecrm.com/gPymvpO
江远投资,,投资研究实习生（资产管理&风险投资方向）,博士,/,国内知名高校金融相关专业,/,上海,2026 | 2027 | 2028届,2026-01-15,民企,,,咨询,尽快投递,实习 | 寒假实习,,https://www.offerleida.com/detail?id=34903,,投递邮箱： | HR@LR-INVESTMENTS.COM
